MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"WT7.1",620897,"BAY818","TWQM","TRIB","MDDNR","MDDNR","WT7.1",6/2/2022,10:20:00,12,,,3,"M ","ISM","M1","SALINITY",,7.62000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620897,"BAY818","TWQM","TRIB","MDDNR","MDDNR","WT7.1",6/2/2022,10:20:00,12,,,4,"M ","ISM","M1","SALINITY",,7.68000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620897,"BAY818","TWQM","TRIB","MDDNR","MDDNR","WT7.1",6/2/2022,10:20:00,12,,,5,"M ","ISM","M1","SALINITY",,7.93000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620897,"BAY818","TWQM","TRIB","MDDNR","MDDNR","WT7.1",6/2/2022,10:20:00,12,,,6,"M ","ISM","M1","SALINITY",,8.12000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620897,"BAY818","TWQM","TRIB","MDDNR","MDDNR","WT7.1",6/2/2022,10:20:00,12,,,7,"M ","ISM","M1","SALINITY",,8.12000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620897,"BAY818","TWQM","TRIB","MDDNR","MDDNR","WT7.1",6/2/2022,10:20:00,12,,,8,"M ","ISM","M1","SALINITY",,8.12000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620897,"BAY818","TWQM","TRIB","MDDNR","MDDNR","WT7.1",6/2/2022,10:20:00,12,,,9,"M ","ISM","M1","SALINITY",,8.12000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620897,"BAY818","TWQM","TRIB","MDDNR","MDDNR","WT7.1",6/2/2022,10:20:00,12,,,10,"M ","ISM","M1","SALINITY",,8.12000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",620897,"BAY818","TWQM","TRIB","MDDNR","MDDNR","WT7.1",6/2/2022,10:20:00,12,,,11,"B ","ISM","M1","SALINITY",,8.19000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621513,"BAY820","TWQM","TRIB","MDDNR","MDDNR","WT7.1",7/12/2022,11:35:00,10,,,3,"M ","ISM","M1","SALINITY",,8.63000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621513,"BAY820","TWQM","TRIB","MDDNR","MDDNR","WT7.1",7/12/2022,11:35:00,10,,,4,"M ","ISM","M1","SALINITY",,8.76000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621513,"BAY820","TWQM","TRIB","MDDNR","MDDNR","WT7.1",7/12/2022,11:35:00,10,,,5,"M ","ISM","M1","SALINITY",,8.82000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621513,"BAY820","TWQM","TRIB","MDDNR","MDDNR","WT7.1",7/12/2022,11:35:00,10,,,6,"M ","ISM","M1","SALINITY",,8.95000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621513,"BAY820","TWQM","TRIB","MDDNR","MDDNR","WT7.1",7/12/2022,11:35:00,10,,,7,"M ","ISM","M1","SALINITY",,9.20000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621513,"BAY820","TWQM","TRIB","MDDNR","MDDNR","WT7.1",7/12/2022,11:35:00,10,,,8,"M ","ISM","M1","SALINITY",,9.33000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621513,"BAY820","TWQM","TRIB","MDDNR","MDDNR","WT7.1",7/12/2022,11:35:00,10,,,9,"B ","ISM","M1","SALINITY",,9.40000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621513,"BAY820","TWQM","TRIB","MDDNR","MDDNR","WT7.1",7/12/2022,11:35:00,10,,,0.5,"S ","ISM","M1","SALINITY",,8.50000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621513,"BAY820","TWQM","TRIB","MDDNR","MDDNR","WT7.1",7/12/2022,11:35:00,10,,,1,"M ","ISM","M1","SALINITY",,8.50000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621513,"BAY820","TWQM","TRIB","MDDNR","MDDNR","WT7.1",7/12/2022,11:35:00,10,,,2,"M ","ISM","M1","SALINITY",,8.57000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621599,"BAY822","TWQM","TRIB","MDDNR","MDDNR","WT7.1",8/9/2022,10:13:00,10.7,,,1,"M ","ISM","M1","SALINITY",,9.27000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621599,"BAY822","TWQM","TRIB","MDDNR","MDDNR","WT7.1",8/9/2022,10:13:00,10.7,,,2,"M ","ISM","M1","SALINITY",,9.40000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621599,"BAY822","TWQM","TRIB","MDDNR","MDDNR","WT7.1",8/9/2022,10:13:00,10.7,,,3,"M ","ISM","M1","SALINITY",,9.78000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621599,"BAY822","TWQM","TRIB","MDDNR","MDDNR","WT7.1",8/9/2022,10:13:00,10.7,,,4,"M ","ISM","M1","SALINITY",,9.98000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621599,"BAY822","TWQM","TRIB","MDDNR","MDDNR","WT7.1",8/9/2022,10:13:00,10.7,,,5,"M ","ISM","M1","SALINITY",,10.50000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621599,"BAY822","TWQM","TRIB","MDDNR","MDDNR","WT7.1",8/9/2022,10:13:00,10.7,,,6,"M ","ISM","M1","SALINITY",,10.63000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621599,"BAY822","TWQM","TRIB","MDDNR","MDDNR","WT7.1",8/9/2022,10:13:00,10.7,,,7,"M ","ISM","M1","SALINITY",,10.76000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621599,"BAY822","TWQM","TRIB","MDDNR","MDDNR","WT7.1",8/9/2022,10:13:00,10.7,,,8,"M ","ISM","M1","SALINITY",,10.89000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621599,"BAY822","TWQM","TRIB","MDDNR","MDDNR","WT7.1",8/9/2022,10:13:00,10.7,,,9,"M ","ISM","M1","SALINITY",,11.08000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621599,"BAY822","TWQM","TRIB","MDDNR","MDDNR","WT7.1",8/9/2022,10:13:00,10.7,,,9.7,"B ","ISM","M1","SALINITY",,11.15000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",621599,"BAY822","TWQM","TRIB","MDDNR","MDDNR","WT7.1",8/9/2022,10:13:00,10.7,,,0.5,"S ","ISM","M1","SALINITY",,9.20000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",625421,"BAY824","TWQM","TRIB","MDDNR","MDDNR","WT7.1",9/13/2022,10:03:00,13,,,0.5,"S ","ISM","M1","SALINITY",,12.20000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",625421,"BAY824","TWQM","TRIB","MDDNR","MDDNR","WT7.1",9/13/2022,10:03:00,13,,,1,"M ","ISM","M1","SALINITY",,12.20000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",625421,"BAY824","TWQM","TRIB","MDDNR","MDDNR","WT7.1",9/13/2022,10:03:00,13,,,2,"M ","ISM","M1","SALINITY",,12.20000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",625421,"BAY824","TWQM","TRIB","MDDNR","MDDNR","WT7.1",9/13/2022,10:03:00,13,,,3,"M ","ISM","M1","SALINITY",,12.26000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",625421,"BAY824","TWQM","TRIB","MDDNR","MDDNR","WT7.1",9/13/2022,10:03:00,13,,,4,"M ","ISM","M1","SALINITY",,12.66000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",625421,"BAY824","TWQM","TRIB","MDDNR","MDDNR","WT7.1",9/13/2022,10:03:00,13,,,5,"M ","ISM","M1","SALINITY",,12.93000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",625421,"BAY824","TWQM","TRIB","MDDNR","MDDNR","WT7.1",9/13/2022,10:03:00,13,,,6,"M ","ISM","M1","SALINITY",,13.19000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",625421,"BAY824","TWQM","TRIB","MDDNR","MDDNR","WT7.1",9/13/2022,10:03:00,13,,,7,"M ","ISM","M1","SALINITY",,13.26000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",625421,"BAY824","TWQM","TRIB","MDDNR","MDDNR","WT7.1",9/13/2022,10:03:00,13,,,8,"M ","ISM","M1","SALINITY",,13.33000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",625421,"BAY824","TWQM","TRIB","MDDNR","MDDNR","WT7.1",9/13/2022,10:03:00,13,,,9,"M ","ISM","M1","SALINITY",,13.33000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",625421,"BAY824","TWQM","TRIB","MDDNR","MDDNR","WT7.1",9/13/2022,10:03:00,13,,,10,"M ","ISM","M1","SALINITY",,13.39000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",625421,"BAY824","TWQM","TRIB","MDDNR","MDDNR","WT7.1",9/13/2022,10:03:00,13,,,12,"B ","ISM","M1","SALINITY",,13.59000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",625421,"BAY824","TWQM","TRIB","MDDNR","MDDNR","WT7.1",9/13/2022,10:03:00,13,,,11,"M ","ISM","M1","SALINITY",,13.46000,"PPT","F01 ",,,,,"",39.00764,-76.50350,"T3"
"WT7.1",639447,"BAY826","TWQM","TRIB","MDDNR","MDDNR","WT7.1",10/12/2022,09:28:00,9.8,,,2,"M ","ISM","M1","SALINITY",,13.26000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",639447,"BAY826","TWQM","TRIB","MDDNR","MDDNR","WT7.1",10/12/2022,09:28:00,9.8,,,3,"M ","ISM","M1","SALINITY",,13.26000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",639447,"BAY826","TWQM","TRIB","MDDNR","MDDNR","WT7.1",10/12/2022,09:28:00,9.8,,,5,"M ","ISM","M1","SALINITY",,13.53000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",639447,"BAY826","TWQM","TRIB","MDDNR","MDDNR","WT7.1",10/12/2022,09:28:00,9.8,,,4,"M ","ISM","M1","SALINITY",,13.39000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",639447,"BAY826","TWQM","TRIB","MDDNR","MDDNR","WT7.1",10/12/2022,09:28:00,9.8,,,8.8,"B ","ISM","M1","SALINITY",,13.99000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",639447,"BAY826","TWQM","TRIB","MDDNR","MDDNR","WT7.1",10/12/2022,09:28:00,9.8,,,8,"M ","ISM","M1","SALINITY",,13.99000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",639447,"BAY826","TWQM","TRIB","MDDNR","MDDNR","WT7.1",10/12/2022,09:28:00,9.8,,,1,"M ","ISM","M1","SALINITY",,13.26000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",639447,"BAY826","TWQM","TRIB","MDDNR","MDDNR","WT7.1",10/12/2022,09:28:00,9.8,,,6,"M ","ISM","M1","SALINITY",,13.59000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",639447,"BAY826","TWQM","TRIB","MDDNR","MDDNR","WT7.1",10/12/2022,09:28:00,9.8,,,7,"M ","ISM","M1","SALINITY",,13.73000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",639447,"BAY826","TWQM","TRIB","MDDNR","MDDNR","WT7.1",10/12/2022,09:28:00,9.8,,,0.5,"S ","ISM","M1","SALINITY",,13.26000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",639564,"BAY828","TWQM","TRIB","MDDNR","MDDNR","WT7.1",11/14/2022,11:12:00,9.5,,,0.5,"S ","ISM","M1","SALINITY",,14.40000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",639564,"BAY828","TWQM","TRIB","MDDNR","MDDNR","WT7.1",11/14/2022,11:12:00,9.5,,,1,"M ","ISM","M1","SALINITY",,14.40000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",639564,"BAY828","TWQM","TRIB","MDDNR","MDDNR","WT7.1",11/14/2022,11:12:00,9.5,,,2,"M ","ISM","M1","SALINITY",,14.46000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",639564,"BAY828","TWQM","TRIB","MDDNR","MDDNR","WT7.1",11/14/2022,11:12:00,9.5,,,3,"M ","ISM","M1","SALINITY",,14.46000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",639564,"BAY828","TWQM","TRIB","MDDNR","MDDNR","WT7.1",11/14/2022,11:12:00,9.5,,,4,"M ","ISM","M1","SALINITY",,14.53000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
"WT7.1",639564,"BAY828","TWQM","TRIB","MDDNR","MDDNR","WT7.1",11/14/2022,11:12:00,9.5,,,5,"M ","ISM","M1","SALINITY",,14.60000,"PPT","F01 ",,,,,,39.00764,-76.50350,"T3"
